partido;userid;username;location;texto;coordinates
"Rede45";85684887;"ruth";"brasil";"no caso de reforma política não deveria ser de acordo com quem vota o povo";
"Rede45";2379879250;"Jonex Almeida";"Mesquita, Rio de Janeiro";"reforma politica mas é a opinião do cidadão a opinião passa longe dessa reforma";
"Rede45";57531053;"Neli";"São Paulo capital";"culpa das próprias mulheres afinal elas quem criam os homem";
"Rede45";275333921;"HudsonMartins";"United States";"distribuição de pagamento de contas tbm bem vindo ao mundo";
"Rede45";793840709518241792;"Menina de Oya";"Madureira";"";
"Rede45";810569171608174592;"GERALDO MELO JUNIOR";"Bom Sucesso, Brasil";"parabéns deputado, a agropecuária tem um representante a altura de sua importância";
"Rede45";3032405187;"Antonio Carlos";"Sao Paulo, Brazil";"vossa excelência tem meu respeito agora sei que logo minha rua não ficara mais sem luz a cada chuva e raio psdb";
"PMDB_Nacional";368414479;"CGBr Mundos Digitais";"Florianópolis, Brasil";"nacional ridícula narrativa acham que alguém ainda cai nessas";
"PMDB_Nacional";197996417;"Elizabete";"Brasil";"nacional graças a este governo ladrão podre, nem parcelar as dívidas os brasileiros honestos estão podendo desgraçados";
"PMDB_Nacional";197996417;"Elizabete";"Brasil";"nacional vão tomar no cu e vender suas vagabundas que desfrutam do dinheiro público enquanto crianças morrem nos hosp";
"PMDB_Nacional";31864044;"Marcio Kleber Torres";"Vila Velha";"nacional seu pilantra, seus dias estão contados com a justiça ladrão";
"PMDB_Nacional";900825421599703041;"Leonardo Uroz";"Belo Horizonte, Brasil";"nacional vergonha esse partido";
"PMDB_Nacional";1640633000;"Silana Disperati";"Rio Brilhante";"nacional suruba é suruba";
"PMDB_Nacional";830064555992694784;"Jbarros";"Belo Horizonte, Brasil";"nacional e o refis do simples nacional nao teremos, somente os grandes";
"PMDB_Nacional";159200133;"Mauri Pereira";"Brasileiro";"nacional precisa também de um sistema de proteção contra desastres administrativos de um governo mafioso";
"PMDB_Nacional";3580183701;"cledison novak";"Sapiranga Brasil";"nacional e so vcs que sao cegos";
"PMDB_Nacional";865241542382030850;"Osmar Avelino";"Rio de Janeiro, Brasil";"nacional parece que não";
"PMDB_Nacional";801932520342360065;"Val";"São Paulo, Brasil";"nacional na realidade ela mostra que o brasileiro está tentando sobreviver a um governo medíocre e corrupto";
"PMDB_Nacional";856864669679714304;"Fernando Silva";"Belém, Brasil";"nacional vcs são a maior organização criminosa do brasil seus bandidos, corruptos inúteis san";
"PMDB_Nacional";856864669679714304;"Fernando Silva";"Belém, Brasil";"nacional vcs são a maior organização criminosa do brasil seus bandidos, corruptos inúteis sanguessugas do meu";
"PMDB_Nacional";4213083424;"mauro";"Brasil";"nacional querem enganar quem;";
"PMDB_Nacional";4213083424;"mauro";"Brasil";"nacional lúcio funaroo vem ai,a única diferença do pmdb para pt ;o primeiro e mais generoso n";
"PMDB_Nacional";31864044;"Marcio Kleber Torres";"Vila Velha";"nacional do que adianta, se vocês estão querendo acabar com a ônia por meio de decreto";
"PMDB_Nacional";4213083424;"mauro";"Brasil";"nacional pmdb ou mdb ágora querendo fazer propaganda de bom menino espero que muitos parlamen";
"PMDB_Nacional";40493348;"Neusa Teixeira";"Brasil São Paulo";"nacional frase do dia melhor definição de fundo eleitoral fundo eleitoral é um dinheiro que será roubado d";
"PMDB_Nacional";62691593;"Thiago";"São Caetano do Sul, SP";"nacional conta a do papagaio agora";
"PMDB_Nacional";860529640175226880;"Mercar@io";"Nova Iorque, USA";"nacional e vai quanto pra quadrilha";
"PMDB_Nacional";379317306;"Alois Andrade";"Ouro Preto do Oeste, Rondônia";"nacional quê ridículo governo do pmdb kkk";
"PMDB_Nacional";795001869928120320;"Paulo De Cerqueira S";"Salvador, Brasil";"nacional verdades enviesadas como gostamos que nos enganem";
"PMDB_Nacional";75418286;"Vinicius";"Rio de Janeiro, Brasil";"nacional privatiza tudo";
"PMDB_Nacional";793840709518241792;"Menina de Oya";"Madureira";"nacional só trouxa para acreditar nessa firula,nada privatizado beneficia o povo, pelo contrário cambada de ratos";
"PMDB_Nacional";272167977;"IVO TORRES";"PRAIA DO CARIPI, BARCARENA";"nacional onde está o dinheiro prometido para os ribeirinhos atingidos pelo naufrágio do navio haidar na vila do conde";
"PMDB_Nacional";69667589;"Marcio Teixeira";"Cascavel Brasil";"nacional não é o que o acha aliás, nem eu";
"PMDB_Nacional";878291135155892224;"Ben Silva";"Porto Alegre, Brasil";"nacional que beleza , quanta grana pra propina não vai rolar nessa privatização, parabéns ao";
"PMDB_Nacional";159200133;"Mauri Pereira";"Brasileiro";"nacional mentiroso canalhas";
"PMDB_Nacional";702402689162997760;"Euclides";"Caruaru, Brasil";"nacional , milhões de desempregados e vocês com a cara de pau de dizer que estão trabalhando, o pmdb está";
"PMDB_Nacional";819239537977282560;"Luiz Daniel Blasius";"Porto Alegre, Brasil";"nacional haja óleo de peroba vocês não ficam nem vermelhos";
"PMDB_Nacional";3247066108;"Cássio Freire";"São Paulo, Brasil";"nacional eo aumento do combustível";
"PMDB_Nacional";710903932202180608;"SUSTENTABILIDADE";"Maranhão, Brasil";"nacional o pmdb, pt, psdb, pp e seus apoiadores precisam ser varridos da vida pública";
"PMDB_Nacional";710903932202180608;"SUSTENTABILIDADE";"Maranhão, Brasil";"nacional o governo do pmdb e seus apoiadores é um escárnio";
"PMDB_Nacional";114753257;"Manoel Neto";"Rio de Janeiro";"nacional hahahahahahahahaha agora conta uma com papagaio";
"PMDB_Nacional";3247061111;"Fernandos123";"São Paulo, Brasil";"nacional privatizar pros compadres, faltou o asterisco";
"PMDB_Nacional";16691681;"Stelle";"SP BR";"nacional pmdbosta";
"PMDB_Nacional";894543942078910464;"André Julião";"Recife, Brasil";"nacional não acredito em papai noel";
"PMDB_Nacional";197996417;"Elizabete";"Brasil";"nacional que mentiraaaaaaaa cabeludaaaaaaa";
"PMDB_Nacional";197996417;"Elizabete";"Brasil";"nacional mas nunca teve, tem ou terão culhões para isto vagabundos podres";
"PMDB_Nacional";887171107077451777;"Eduardo";"Curitiba, Brasil";"nacional";
"PMDB_Nacional";210669639;"BISMARQUE AGUIAR";"aguas claras brasilia df";"nacional já era hora";
"PMDB_Nacional";887702249983672320;"Rogério";"São Paulo, Brasil";"nacional tão vendendo o brasil junto com a carcaça";
"PMDB_Nacional";1528591454;"O Padeiro Comunista";"Eritrea";"nacional vcs acham isso grande coisa mesmo";
"PMDB_Nacional";900127692166754305;"Rosemberg Brito";"Paraty, Brasil";"nacional partido vergonhoso tudo lacraia";
"PMDB_Nacional";115634363;"Robson";"Recife";"nacional a privatização trará números para o erário público, mas em compensação, perderá sua moeda de barganha";
"PMDB_Nacional";162891407;"ws.cyber";"brasil";"nacional bando ladrao";
"PMDB_Nacional";1635614479;"José. júnior";"Tocantins, Brasil";"nacional cadê até agora nada de empregos";
"PMDB_Nacional";32072434;"Fredd";"Niterói";"nacional correto";
"PMDB_Nacional";2188777545;"9524";"Rio de Janeiro, Brasil";"nacional mentirasó vejo o desemprego aumentando";
"PMDB_Nacional";2188777545;"9524";"Rio de Janeiro, Brasil";"nacional luxo humano são vocês";
"PMDB_Nacional";871069804135841793;"Rodrigo Cossich";"Castelo, Belo Horizonte";"nacional patrimônio vc tem gasolina ,energia elétrica de graça o que temos é arcar com um estado inchado c";
"PMDB_Nacional";871069804135841793;"Rodrigo Cossich";"Castelo, Belo Horizonte";"nacional e o que vai sepultar o partido a união de novo com o pt";
"PMDB_Nacional";235232087;"Washington Fonseca";"goiania goias brasil";"nacional há vai tomar no cu pmdb, você é o temer";
"PMDB_Nacional";698494784885936128;"Sivaldo Brito";"Gogó da ema";"nacional oh, se não fosse uma piada já ia pensar que era verdade kkkkkkkk, gozado";
"PMDB_Nacional";159200133;"Mauri Pereira";"Brasileiro";"nacional o único comércio q cresce no governo do é a venda a preço vil do patrimônio do povo bra";
"PMDB_Nacional";889608519539982336;"Lula 2018";"Vila da Prata, Manaus";"nacional querem vender a amazonia vai perder todos os seus governadores ano que vem nas urnas";
"PMDB_Nacional";889608519539982336;"Lula 2018";"Vila da Prata, Manaus";"nacional o povo já entendeu isso , na eleição do amazonas de ontem o candidato do pmdb levou uma surra do partido do brizola o pdt";
"PMDB_Nacional";889608519539982336;"Lula 2018";"Vila da Prata, Manaus";"nacional vender a amazonia e um retrocesso seus golpistas";
"PMDB_Nacional";860529640175226880;"Mercar@io";"Nova Iorque, USA";"nacional o pai deste ministro está envolvido em vários casos de roubalheira e pilantragem";
"PMDB_Nacional";860529640175226880;"Mercar@io";"Nova Iorque, USA";"nacional rossi esse partido tem vários ladrões pilantras";
"PMDB_Nacional";16691681;"Stelle";"SP BR";"nacional vendendo a amazônia pra cobrir o déficit de mordomia e roubalheira usurpadores presidente enfeite de bruxa";
"ptbrasil";35286155;"Nasci em 76";"Não Me Toque, Brasil";"aliás, vocês já decidiram o que vão fazer com ela sacanagem não estar lá com o lula, da";
"ptbrasil";2239780546;"TG Veritas";"Ribeirão Preto SP";"inflação na meta, desemprego em queda, atividade econômica em recuperação o vice que vc";
"ptbrasil";206197310;"LEYMAR🇧🇷🙏👫⚽🤘";"BHte MG Brasil";"";
"ptbrasil";1190639058;"Fora Mustafá! Câncer";"São Paulo";"improbabilidade reflexo direto dos jumentos que comandam essa organização criminosa";
"ptbrasil";824391494052286465;"Raquelle Aguiar";"Fortaleza, Brasil";"tb acho o o brasil ainda vai ser livre e consciente, d q pessoas como";
"ptbrasil";373994352;"ARKAITZ";"MIS DOCUMENTOS";"arriba brasil libre y soberano porque la historia es nuestra y lahacen los pueblos libre";
"ptbrasil";4018298668;"Abraão";"Natal, Brazil";"";
"ptbrasil";373994352;"ARKAITZ";"MIS DOCUMENTOS";"da silva proximo presidente electo de tod l ciudadan brasile yes we can p";
"ptbrasil";31864044;"Marcio Kleber Torres";"Vila Velha";"golpe foi o que essa e seus companheiros fizeram com o brasil ão";
"ptbrasil";299622727;"Leonardo";"Pinheiros, São Paulo";"";
"ptbrasil";902567177131319296;"Beatriz França";"Juazeiro do Norte, Brasil";"juazeiro do norte ta cagando pro luladrão";
"ptbrasil";58146054;"RAIMUNDO MELO";"Brasil";"lula nunca envergonhou a sua querida mãe dona lindu e hoje em dia esse s";
"ptbrasil";846944450068856832;"Anderson Correia";"Petrolina, Brasil";"só isso bolsonaro onde anda é recepcionado por mais que o dobro kkkkk";
"ptbrasil";339489318;"porra, giovanni";"Porto Alegre, Brasil";"a bancada foi contra lula em tb qdo ele recebeu carta oficial do greenpiece pq qria ven";
"ptbrasil";235284537;"Rosilene";"Viçosa, Brasil";", vai lá e dá um abraço nela esse povo te ama de verdade presidente em";
"ptbrasil";852160002697695232;"Arte no Vaso";"Não Me Toque, Brasil";"acabaram com o estoque de cachaça da cidade";
"ptbrasil";791452501501501444;"bocasuja";"Brasil";"tadinha nem sabe que o lula e a dilma roubaram o futuro dos netos dela é uma pena os";
"ptbrasil";901145409694945281;"Rafael Vieira de Sou";"Ubaporanga MG";"ele não é presidente é um canalha";
"ptbrasil";828205829966983168;"Rosemary Apaixonada";"Brasília";"ta na bíblia essa cidade";
"ptbrasil";823750136123756544;"Vanessa #Helicoca";"Brasil";"lula é amado";
"ptbrasil";29536585;"Brad Pickler";"Florianópolis, Santa Catarina";"esses votinhos valem ouro";
"ptbrasil";32541837;"Diego da Silva Lima";"Osasco SP Brasil";"lula pode ir preso ainda em setembro";
"ptbrasil";894399921851437056;"Guiomar Melo";"Recife, Brasil";"e nós seguindo";
"ptbrasil";469696574;"Edmilson Oliveira";"São José dos Campos SP";"luiz inácio lula da silva é o maior, o melhor e o mais honesto presidente da história do";
"ptbrasil";806548890266779648;"Neto";"Salvador, Brasil";"o que essa galera não faz por reais e um lanche";
"ptbrasil";806548890266779648;"Neto";"Salvador, Brasil";"a cela o espera";
"ptbrasil";806548890266779648;"Neto";"Salvador, Brasil";"vcs são uma piada mesmo tudo isso em vão";
"ptbrasil";112429108;"Camila Ventura";"Rio de Janeiro";"é bom ele se esconder, pq se o pt descobrir que ele virou patrimônio, o rouba tbm";
"ptbrasil";3311215564;"ㅤ.Paola.";"Belorizontão";"q vergonha alheia";
"ptbrasil";29536585;"Brad Pickler";"Florianópolis, Santa Catarina";"prestigiando o ladrão";
"ptbrasil";26315683;"Joao Eduardo";"Joinville SC Brasil";"as probabilidades de que viesse a administrar o país eram poucas mesmo";
"ptbrasil";86648051;"marcos c costa";"Brasil";"comicios do pt não têm credibilidade muita gente vai sem nem saber pra que";
"ptbrasil";852546212;"flavio augusto ";"Brasília, Brasil";"sucateada pera ai mas se ela sucateou não foi por causa do governo pt e o temer era só o vice";
"ptbrasil";846386420;"Leo Azevedo";"Itaboraí, Brasil";"mar morto";
"ptbrasil";852546212;"flavio augusto ";"Brasília, Brasil";"olha só o lularapio usando o programa do fies do governo fhc como se ele o tivesse feito você já teve u";
"ptbrasil";33889292;"Carlos Pantoja";"São Paulo, Brasil";"o dedos ataca novamente platéia seleta com o povo vermelho da cut e mst";
"ptbrasil";737624404201332736;"Hector Consani";"Brasil";"olha o lula sentado lá no meio";
"ptbrasil";86648051;"marcos c costa";"Brasil";"desastre maior era permanecer com essa aí";
"ptbrasil";2402247984;"GLOBE NEWS WEB";"S O PAULO";"essa senhora falando é o fim das escolas no brasil";
"ptbrasil";3181341407;"Polly";"Maceió AL Paraibana de raiz";"ô que linda é zefinha pinheiro, povo acompanhando";
"ptbrasil";852546212;"flavio augusto ";"Brasília, Brasil";"kkkkkkkkkkk cadê o mar de gente nem deve ai e pelo que parece estão tudo com fome e";
"ptbrasil";333687095;"Andre Costa";"fortaleza ceará";"sou cearense e quero";
"ptbrasil";894399921851437056;"Guiomar Melo";"Recife, Brasil";"lula cidadão nordestino e o povo atrás";
"ptbrasil";371306066;"wander vitor santana";"Santa Luzia MG Brasil";"dessa vez desceu do carro então e não chamou o povo de pobre fedido não né";
"ptbrasil";216443540;"Igor Soares";"Belo Horzionte MG";"que dó enganar velho é crime";
"ptbrasil";93830053;"Glaucia Taricano";"Brazil Rio de Janeiro";"em época de campanha lula iria dar um abraço em d zefinha mas aí lascou";
"ptbrasil";67387478;"Claudemir Fortuna";"Rio Grande do Sul, Brasil";"explorando a imagem da nona";
"ptbrasil";66456878;"Reinaldo de Freitas";"São Paulo, Brésil";"que foto, que foto";
"ptbrasil";3226511685;"JorjaJo";"Itapoã, Belo Horizonte";"lá as mulheres engravidam para terem bolsa família";
"ptbrasil";882778188769894400;"Gabriel";"Florianópolis, Brasil";"parabéns compraram o bolinho para essa comemoração";
"Rede45";2801814928;"Elcio Teixeira";"Cortês, PE Brasil";"maior e melhor renovação política, seria a extinção desse partido tenham vergonha ajudam temer a acabar c";
"Rede45";2801814928;"Elcio Teixeira";"Cortês, PE Brasil";"isso é uma piada psdb, dem, pp, pps e cia, jamais foram em favor do povo esses hipócritas sacrificam os p";
"Rede45";31864044;"Marcio Kleber Torres";"Vila Velha";"écionevesnacadeiajá";
"Rede45";31864044;"Marcio Kleber Torres";"Vila Velha";"vocês podem começar a renovação política, expulsando o corrupto do partido, vão fazer a renovação écionacadeiajá";
"Rede45";152371013;"Alexandre Marques";"Rio de Janeiro";"renovar a política é dar a temer mais apoio em um ano do que ele recebeu de dilma em cinco";
"Rede45";279547892;"AnaLeão";"Rio de Janeiro, Brasil";"";
"Rede45";279547892;"AnaLeão";"Rio de Janeiro, Brasil";"";
"Rede45";1561816194;"Fabio Lima";"São Paulo, Brasil";"aecio tem que estar fora do jogo";
"Rede45";1561816194;"Fabio Lima";"São Paulo, Brasil";"o aecio deveria estar fora do partido foi pego pedindo dinheiro ao um empresário investigado isso é inadm";
"Rede45";151593418;"Ismael Bazilio";"Manaus";"ilegal, torpe, cínica e tenta promover um condenado fala da atuação do psdb pra salvar te";
"Rede45";1561816194;"Fabio Lima";"São Paulo, Brasil";"o que vcs tanto criticaram acabaram fazendo até pior escândalos atras de escândalos renovação só se for sem vcs";
"Rede45";1561816194;"Fabio Lima";"São Paulo, Brasil";"qual renovação vcs irão fechar o psdb";
"Rede45";31620787;"TD777";"Brasília DF Brasil";"aakkakakakakakakakaka isso mesmo cocaína";
"Rede45";410319755;"Lula2018";"Planeta Terra";"quá quá quá quá chora vagabundo";
"Rede45";57531053;"Neli";"São Paulo capital";"concordo";
"Rede45";60884715;"DIREITONEWS.COM";"DOURADOS, Mato Grosso do Sul";"cuida de teu partido se preocupa com o teu candidato e deixa o homem falar com povo";
"Rede45";222593619;"#DiretasJá";"Brasil";"fora golpistas vão disputar no voto entreguistas não passarão";
"Rede45";322076828;"Jacildo Bezerra";"Boa Vista";"aliados desses ladrões e com ladrões nos seu quadros até o aécio sujo com a propina difícil";
"Rede45";486242620;"Paulo Henrique";"Brasil";"a começar por vocês né tirando dois ladrões, e , né bando de ladrão";
"Rede45";457932806;"Francisco Madaus";"Brasília, Brasil";"voto lula escravocratas vão pqp";
"Rede45";4277007856;"Almirsfc";"Santo André, Brasil";"bom é promover o retorno escravidão no campo não é mesmo deputado vc acha que ninguém e";
"Rede45";1528591454;"O Padeiro Comunista";"Eritrea";"vcs só falam a língua dos empresários mesmo obrigado por estarem mostrando a quem vcs servem";
"Rede45";59810903;"Emerson";"São Paulo, Brasil";"desde não souberam perder e afundaram o país na ganância pelo poder bando de cara de pau";
"Rede45";875122453877600257;"Eureka";"Maranhão";"";
"Rede45";875122453877600257;"Eureka";"Maranhão";"";
"Rede45";23292611;"SérgioBSB";"Brasilia DF";"e vcs que promovem o kkkkkdeixa de mimimimi";
"Rede45";1528591454;"O Padeiro Comunista";"Eritrea";"vergonhoso";
"Rede45";724012157734641664;"Celui";"Brasil";"vcs querem é foder com os estão empurrando o brasil pro mapa da fome de novo partido de ladrões corruptos aécio na cabeca";
"Rede45";31620787;"TD777";"Brasília DF Brasil";"vtnc";
"Rede45";475724631;"everaldo martines";"Tupi Paulista SP Brasil";"ouvir falar em renovação e dizer que o aecio vai tentar voltar a presidir o partido é um pouco de incoerência ou cara de pau";
"Rede45";201877542;"carlos mendes";"br";"com o aecio presidente do partido";
"Rede45";213876172;"Joao Carlos";"Brazil SP";"pode começar desfiliando o seu aecio";
"Rede45";137517434;"Fabiano Tenuta";"RJ";"assinem então uma proposta de auto dissolução em consenso de todos os partidos políticos via consulta popul";
"Rede45";711572308238999552;"Anna Maria Sanlema";"Recife, Brasil";"chora não bebê";
"Rede45";885296427374661632;"Rosa Skarlate";"meu primeiro tweet";"psdb em desespero por cuidado que ai no psdb que não sobra um honest";
"Rede45";754348704451137536;"Flavio Fontanelli";"Rio de Janeiro, Brazil";"e o aécio";
"Rede45";1528591454;"O Padeiro Comunista";"Eritrea";"chore ou cheire com seu amigo aécio";
"Rede45";724012157734641664;"Celui";"Brasil";"deputadozinho de merda é de qual estado comprado vc é com certeza cadê prova contra lu";
"Rede45";724012157734641664;"Celui";"Brasil";"e vc é o que o que recebe pra votar a favor do fake e o corrupto";
"Rede45";862793677835563008;"Silva";"São Paulo, Brasil";"as regalias e mordomias entre, políticos e os contribuintes é desigual que tal se preocupar com a corrupç";
"Rede45";46689831;"Adriana Figueiredo";"Brasil";"condenados são psdbostas, criminosos, cúmplices na destruição do país claro q sem conden";
"Rede45";412506363;"adhemar";"Viçosa, Minas Gerais";"kkkkkkkkkkkkkk";
"Rede45";819686551789727749;"CAROLINA SAPORI";"Brasil";"tá com ciúme";
"Rede45";50132320;"Tarcísio Holanda";"Fortaleza, Brazil";"lula já ganhou, e vocês perderam mais uma fora psdb";
"Rede45";93830053;"Glaucia Taricano";"Brazil Rio de Janeiro";"isso é um fato";
"Rede45";50190686;"Lourival Amorim";"Florianópolis Brazil";"oficial";
"Rede45";818263886310805505;"Daniel Bastos";"Goiânia, Brasil";"existe consenso no nome do ilustríssimo senador aécio quem são vcs p falarem de consenso";
"Rede45";85684887;"ruth";"brasil";"no caso de reforma política não deveria ser de acordo com quem vota o povo";
"Rede45";2379879250;"Jonex Almeida";"Mesquita, Rio de Janeiro";"reforma politica mas é a opinião do cidadão a opinião passa longe dessa reforma";
"Rede45";57531053;"Neli";"São Paulo capital";"culpa das próprias mulheres afinal elas quem criam os homem";
"Rede45";275333921;"HudsonMartins";"United States";"distribuição de pagamento de contas tbm bem vindo ao mundo";
"Rede45";793840709518241792;"Menina de Oya";"Madureira";"";
"Rede45";810569171608174592;"GERALDO MELO JUNIOR";"Bom Sucesso, Brasil";"parabéns deputado, a agropecuária tem um representante a altura de sua importância";
"Rede45";3032405187;"Antonio Carlos";"Sao Paulo, Brazil";"vossa excelência tem meu respeito agora sei que logo minha rua não ficara mais sem luz a cada chuva e raio psdb";
"PMDB_Nacional";368414479;"CGBr Mundos Digitais";"Florianópolis, Brasil";"nacional ridícula narrativa acham que alguém ainda cai nessas";
"PMDB_Nacional";197996417;"Elizabete";"Brasil";"nacional graças a este governo ladrão podre, nem parcelar as dívidas os brasileiros honestos estão podendo desgraçados";
"PMDB_Nacional";197996417;"Elizabete";"Brasil";"nacional vão tomar no cu e vender suas vagabundas que desfrutam do dinheiro público enquanto crianças morrem nos hosp";
"PMDB_Nacional";31864044;"Marcio Kleber Torres";"Vila Velha";"nacional seu pilantra, seus dias estão contados com a justiça ladrão";
"PMDB_Nacional";900825421599703041;"Leonardo Uroz";"Belo Horizonte, Brasil";"nacional vergonha esse partido";
"PMDB_Nacional";1640633000;"Silana Disperati";"Rio Brilhante";"nacional suruba é suruba";
"PMDB_Nacional";830064555992694784;"Jbarros";"Belo Horizonte, Brasil";"nacional e o refis do simples nacional nao teremos, somente os grandes";
"PMDB_Nacional";159200133;"Mauri Pereira";"Brasileiro";"nacional precisa também de um sistema de proteção contra desastres administrativos de um governo mafioso";
"PMDB_Nacional";3580183701;"cledison novak";"Sapiranga Brasil";"nacional e so vcs que sao cegos";
"PMDB_Nacional";865241542382030850;"Osmar Avelino";"Rio de Janeiro, Brasil";"nacional parece que não";
"PMDB_Nacional";801932520342360065;"Val";"São Paulo, Brasil";"nacional na realidade ela mostra que o brasileiro está tentando sobreviver a um governo medíocre e corrupto";
"PMDB_Nacional";856864669679714304;"Fernando Silva";"Belém, Brasil";"nacional vcs são a maior organização criminosa do brasil seus bandidos, corruptos inúteis san";
"PMDB_Nacional";856864669679714304;"Fernando Silva";"Belém, Brasil";"nacional vcs são a maior organização criminosa do brasil seus bandidos, corruptos inúteis sanguessugas do meu";
"PMDB_Nacional";4213083424;"mauro";"Brasil";"nacional querem enganar quem;";
